id,order_id,product_id,price,quantity,sum
1,1,1,390.00,2,780.00
2,1,16,120.00,2,240.00
3,1,31,550.00,1,550.00
4,1,46,120.00,1,120.00
5,2,6,550.00,2,1100.00
6,2,3,520.00,2,1040.00
7,2,25,1500.00,1,1500.00
8,3,4,390.00,2,780.00
9,3,8,430.00,2,860.00
10,3,17,130.00,1,130.00
11,3,11,450.00,1,450.00
12,4,1,390.00,3,1170.00
13,4,9,470.00,2,940.00
14,4,38,700.00,1,700.00
15,5,24,1800.00,1,1800.00
16,5,2,350.00,2,700.00
17,5,18,150.00,2,300.00
18,5,47,120.00,2,240.00
19,5,28,850.00,1,850.00
20,6,5,340.00,3,1020.00
21,6,10,410.00,2,820.00
22,6,50,130.00,1,130.00
23,7,27,2500.00,1,2500.00
24,7,13,320.00,2,640.00
25,7,16,120.00,1,120.00
26,7,33,650.00,1,650.00
27,8,12,420.00,2,840.00
28,8,17,130.00,1,130.00
29,8,46,120.00,2,240.00
30,9,26,2100.00,1,2100.00
31,9,16,120.00,2,240.00
32,9,15,200.00,2,400.00
33,9,50,130.00,1,130.00
34,10,25,1500.00,1,1500.00
35,10,6,550.00,2,1100.00
36,10,4,390.00,1,390.00
37,10,14,330.00,1,330.00
38,10,32,600.00,1,600.00
39,10,47,120.00,1,120.00
40,11,7,520.00,2,1040.00
41,11,16,120.00,2,240.00
42,11,12,420.00,1,420.00
43,11,46,120.00,1,120.00
44,12,24,1800.00,1,1800.00
45,12,21,890.00,1,890.00
46,12,32,600.00,1,600.00
47,12,47,120.00,2,240.00
48,12,50,130.00,1,130.00
49,13,1,390.00,1,390.00
50,13,9,470.00,1,470.00
51,13,46,120.00,1,120.00
52,14,27,2500.00,1,2500.00
53,14,5,340.00,2,680.00
54,14,3,520.00,2,1040.00
55,14,48,120.00,1,120.00
56,14,50,130.00,1,130.00
57,15,26,2100.00,1,2100.00
58,15,18,150.00,1,150.00
59,15,17,130.00,1,130.00
60,15,50,130.00,1,130.00
61,16,21,890.00,1,890.00
62,16,8,430.00,2,860.00
63,16,24,1800.00,1,1800.00
64,16,16,120.00,1,120.00
65,16,47,120.00,1,120.00
66,17,11,450.00,2,900.00
67,17,10,410.00,1,410.00
68,17,50,130.00,1,130.00
69,18,24,1800.00,1,1800.00
70,18,27,2500.00,1,2500.00
71,18,6,550.00,1,550.00
72,18,12,420.00,1,420.00
73,18,48,120.00,1,120.00
74,19,28,850.00,1,850.00
75,19,4,390.00,2,780.00
76,19,2,350.00,1,350.00
77,19,13,320.00,1,320.00
78,20,26,2100.00,1,2100.00
79,20,7,520.00,2,1040.00
80,20,11,450.00,1,450.00
81,20,32,600.00,1,600.00
82,21,5,340.00,2,680.00
83,21,9,470.00,1,470.00
84,21,3,520.00,1,520.00
85,21,46,120.00,1,120.00
86,22,25,1500.00,1,1500.00
87,22,4,390.00,2,780.00
88,22,12,420.00,1,420.00
89,22,6,550.00,1,550.00
90,22,32,600.00,1,600.00
91,23,1,390.00,2,780.00
92,23,18,150.00,2,300.00
93,23,50,130.00,1,130.00
94,24,21,890.00,1,890.00
95,24,24,1800.00,1,1800.00
96,24,8,430.00,2,860.00
97,24,17,130.00,1,130.00
98,24,46,120.00,1,120.00
99,24,48,120.00,1,120.00
100,24,50,130.00,1,130.00
101,25,28,850.00,1,850.00
102,25,13,320.00,2,640.00
103,25,7,520.00,1,520.00
104,25,16,120.00,1,120.00
105,25,14,330.00,1,330.00
106,25,47,120.00,1,120.00
107,26,1,390.00,10,3900.00
108,27,22,1200.00,8,9600.00
109,28,14,330.00,1,330.00
110,28,6,550.00,1,550.00
111,28,22,1200.00,1,1200.00
112,28,50,130.00,1,130.00
113,29,2,350.00,1,350.00
115,30,1,390.00,1,390.00
